acc,bra,str,dstr,ddstr,ax,ay,V,LO,HA,SSW_LeftDown,SSW_LeftCenter,SSW_LeftTop,SSW_CenterTop,SSW_RightTop,SSW_RightCenter,SSW_RightDown,HeartRate,Label,time_in_SEC
0.96875,0,-0.775187987,0.314159265,23.72836351,0.29726211,-0.043170204,125.5500229,0.987087406,-11.67515126,0,0,5,1,6,0,0,87,1,14.9
0.97265,0,-0.770475598,0.157079633,12.76971055,0.287066964,-0.348212157,126.6602094,0.425541061,-7.871443469,0,0,5,1,6,0,0,87,1,15
0.98045,0,-0.762621617,0.157079633,4.963730512,0.280265672,-0.611881043,127.3164822,-0.093682662,-4.083494793,0,0,5,1,6,0,0,87,1,15.1
1,0,-0.711570736,1.570796327,1.530764689,0.283876903,-0.794066044,127.7087894,-0.543290045,-0.652755351,0,0,5,1,6,0,0,87,1,15.2
1,0,-0.625176938,2.984513021,0.799890587,0.282484603,-0.886705595,128.0258906,-0.904154553,2.189603164,0,0,5,1,6,0,0,87,1,15.3
1,0,-0.381703507,5.026548246,0.095902161,0.290655593,-0.862847749,128.4940591,-1.16707138,4.263939434,0,0,5,1,6,0,0,87,1,15.4
1,0,-0.095818576,4.398229715,-2.333780847,0.299141402,-0.749613448,129.2592745,-1.33404411,5.414037767,0,0,5,1,6,0,0,87,1,15.5
1,0,0.039269908,0,-6.188465671,0.300390275,-0.602194119,130.3184879,-1.414830218,5.611759671,0,0,5,1,6,0,0,87,1,15.6
1,0,-0.019634954,-1.727875959,-9.551622656,0.29751082,-0.441616618,131.5339765,-1.422624045,5.055670433,0,0,5,1,6,0,0,87,1,15.7
1,0,-0.084037603,-0.628318531,-10.23538151,0.293881711,-0.277518464,132.7557648,-1.373001375,4.061849663,0,0,5,1,6,0,0,87,1,15.8
1,0,-0.110741141,-0.785398163,-7.191702742,0.290501023,-0.12646172,133.8981487,-1.282493794,2.929242117,0,0,5,1,6,0,0,87,1,15.9
1,0,-0.13273229,0,-1.2230767,0.287263816,-0.007608701,134.9485552,-1.166376018,1.895978201,0,0,5,1,6,0,0,87,1,16
1,0,-0.125663706,0.471238898,5.285850833,0.28412212,0.07019457,135.9383832,-1.036880709,1.113724281,0,0,5,1,6,0,0,87,1,16.1
1,0,-0.112311937,0.314159265,9.436423497,0.280887883,0.109998659,136.9050835,-0.902214879,0.650820134,0,0,5,1,6,0,0,87,1,16.2
1,0,-0.090320789,0.471238898,9.156074317,0.277566595,0.116769756,137.8723599,-0.766649868,0.516617061,0,0,5,1,6,0,0,87,1,16.3
1,0,-0.069115038,0.314159265,4.149084878,0.274165782,0.098233667,138.8458993,-0.631101688,0.676278667,0,0,5,1,6,0,0,87,1,16.4
1,0,-0.042411501,0.471238898,-3.915681739,0.270704473,0.063998452,139.8189329,-0.493891022,1.066671954,0,0,5,1,6,0,0,87,1,16.5
1,0,-0.026703538,0.471238898,-12.00674581,0.267234163,0.02528355,140.7806818,-0.351820736,1.605636465,0,0,5,1,6,0,0,87,1,16.6
1,0,0.025918139,1.256637061,-16.90132783,0.263839799,-0.003134853,141.7235454,-0.201420786,2.193745045,0,0,5,1,6,0,0,87,1,16.7
1,0,0.035342917,-1.727875959,-16.42944765,0.260507857,-0.031554078,142.6470762,-0.039703775,2.734565119,0,0,5,1,6,0,0,87,1,16.8
1,0,-0.307090682,-8.79645943,-10.28039993,0.255253852,-0.123190867,143.5516935,0.13785876,3.235181569,0,0,5,1,6,0,0,87,1,16.9
1,0,-0.738274274,-5.654866776,-0.071431391,0.241800928,-0.262867096,144.4019501,0.34193688,3.964605377,0,0,5,1,6,0,0,87,1,17
1,0,-0.859225591,-1.099557429,11.30283817,0.233187469,-0.355755328,145.1845682,0.583933749,5.135552114,0,0,5,1,6,0,0,87,1,17.1
1,0,-0.862367183,0,20.78445462,0.228041898,-0.444478945,145.8827235,0.872224401,6.692437958,0,0,5,1,6,0,0,87,1,17.2
1,0,-0.841946831,1.099557429,25.87341371,0.222773467,-0.541674729,146.4731302,1.215532534,8.488292474,0,0,5,1,6,0,0,87,1,17.3
1,0,-0.717068523,4.241150082,25.41057596,0.220497386,-0.619827329,146.9595806,1.6230863,10.37420474,0,0,5,1,6,0,0,87,1,17.4
1,0,-0.388772091,5.340707511,19.42762801,0.22980908,-0.609922914,147.4362549,-1.749841104,12.09750415,0,0,5,1,6,0,0,87,1,17.5
1,0,0.023561945,7.225663103,9.00455484,0.238040536,-0.530334818,148.0201288,-1.204579548,13.30104624,0,0,5,1,6,0,0,87,1,17.6
1,0,0.471238898,6.283185307,-3.742879695,0.239031287,-0.371382607,148.8090083,-0.598923115,13.65902387,0,0,5,1,6,0,0,87,1,17.7
1,0,0.640884901,3.926990817,-16.01224877,0.233355849,-0.205024499,149.7869035,0.05399374,13.02279547,0,0,5,1,6,0,0,87,1,17.8
